Pos,Player,Team,Rating,Career Best Rating
1,Mohammed Siraj,IND,680,736
2,Josh Hazlewood,AUS,669,733
3,Mujeeb Ur Rahman,AFG,657,712
4,Rashid Khan,AFG,655,806
5,Trent Boult,NZ,654,775
6,Mitchell Starc,AUS,639,783
7,Adam Zampa,AUS,637,670
8,Shaheen Afridi,PAK,632,688
9,Matt Henry,NZ,626,691
10,Kuldeep Yadav,IND,625,765
11,Mohammad Nabi,AFG,621,657
12,Chris Woakes,ENG,613,711
13,Mark Watt,SCO,611,622
14,Keshav Maharaj,SA,599,599
15,Kagiso Rabada,SA,594,724
16,Maheesh Theekshana,SL,593,611
17,Shakib Al Hasan,BAN,592,717
18,Bernard Scholtz,NAM,589,589
19,Saurabh Netravalkar,USA,586,597
20,Lungi Ngidi,SA,570,621
21,Pat Cummins,AUS,568,729
22,Haris Rauf,PAK,566,577
23,Mustafizur Rahman,BAN,564,695
24,Akeal Hosein,WI,563,597
25,Jofra Archer,ENG,561,642
26,Mohammad Shami,IND,561,654
27,Alzarri Joseph,WI,558,625
28,Jasprit Bumrah,IND,556,841
29,Andy McBrine,IRE,545,646
30,Sandeep Lamichhane,NEP,539,595
31,Tabraiz Shamsi,SA,533,597
32,Mark Adair,IRE,529,565
33,David Willey,ENG,520,569
34,Richard Ngarava,ZIM,518,524
35,Christopher Sole,SCO,509,511
36,Mehedi Hasan,BAN,509,725
37,Ruben Trumpelmann,NAM,508,510
38,Wanindu Hasaranga,SL,508,582
39,Adil Rashid,ENG,508,687
40,Fazalhaq Farooqi,AFG,507,544
41,Shardul Thakur,IND,504,546
42,Aayan Afzal Khan,UAE,500,517
43,Bilal Khan,OMA,499,545
44,Taskin Ahmed,BAN,498,528
45,Mohammad Nawaz,PAK,496,549
46,Sean Abbott,AUS,496,496
47,Reece Topley,ENG,493,505
48,Mark Wood,ENG,492,615
49,Mitchell Santner,NZ,487,663
50,Craig Young,IRE,487,487
51,Logan van Beek,NED,485,485
52,Zeeshan Maqsood,OMA,483,510
53,Blessing Muzarabani,ZIM,482,515
54,Kaleemullah,OMA,481,481
55,Hardik Pandya,IND,481,552
56,Nosthush Kenjige,USA,479,479
57,Safyaan Sharif,SCO,477,542
58,Shadab Khan,PAK,475,607
59,Rohan Mustafa,UAE,473,523
60,Naseem Shah,PAK,469,474
61,Fred Klaassen,NED,468,507
62,Sikandar Raza,ZIM,468,494
63,Joshua Little,IRE,465,533
64,Assad Vala,PNG,464,467
65,Chad Soper,PNG,462,488
66,Moeen Ali,ENG,460,629
67,Lachlan Ferguson,NZ,459,668
68,Dipendra Airee,NEP,458,482
69,Ravindra Jadeja,IND,456,738
70,Yuzvendra Chahal,IND,450,730
71,Ish Sodhi,NZ,449,509
72,Zahoor Khan,UAE,446,490
73,Tim Southee,NZ,446,638
74,Dushmantha Chameera,SL,445,552
75,Taijul Islam,BAN,443,502
76,Junaid Siddique,UAE,439,440
77,Anrich Nortje,SA,439,479
78,Sam Curran,ENG,439,454
79,Mohammad Shoriful Islam,BAN,434,434
80,Michael Leask,SCO,431,439
81,Dhananjaya de Silva,SL,429,480
82,Jason Holder,WI,429,486
83,Aryan Dutt,NED,421,423
84,Tangeni Lungameni,NAM,421,443
85,Marco Jansen,SA,421,421
86,Ashton Agar,AUS,419,456
87,Karan KC,NEP,418,424
88,Brandon McMullen,SCO,417,417
89,Mohammad Wasim,PAK,416,446
90,Simi Singh,IRE,416,507
91,Gudakesh Motie-Kanhai,WI,411,411
92,Gulbadin Naib,AFG,411,472
93,Nisarg Patel,USA,409,414
94,Sompal Kami,NEP,409,457
95,Lalit Rajbanshi,NEP,399,403
96,Marcus Stoinis,AUS,397,426
97,M. Prasidh Krishna,IND,394,481
98,Kasun Rajitha,SL,394,415
99,Jhye Richardson,AUS,393,548
100,Wayne Parnell,SA,390,550
