Pos,Player,Team,Rating,Career Best Rating
1,Suryakumar Yadav,IND,889,910
2,Mohammad Rizwan,PAK,811,875
3,Babar Azam,PAK,756,896
4,Aiden Markram,SA,756,796
5,Rilee Rossouw,SA,702,724
6,Dawid Malan,ENG,691,915
7,Muhammad Waseem,UAE,675,716
8,Jos Buttler,ENG,666,674
9,Aaron Finch,AUS,660,900
10,Reeza Hendricks,SA,657,661
11,Glenn Phillips,NZ,649,703
12,Mitchell Marsh,AUS,645,652
13,Brandon King,WI,637,637
14,Devon Conway,NZ,636,831
15,Nicholas Pooran,WI,624,667
16,Quinton de Kock,SA,622,671
17,Pathum Nissanka,SL,611,698
18,Alex Hales,ENG,611,866
19,Litton Das,BAN,588,590
20,Rahmanullah Gurbaz,AFG,579,620
21,Tim Seifert,NZ,571,685
22,Virat Kohli,IND,570,897
23,Finn Allen,NZ,561,606
24,Mark Chapman,NZ,561,561
25,Kariyawasa Asalanka,SL,559,594
26,Kusal Mendis,SL,559,559
27,Richard Berrington,SCO,557,587
28,George Munsey,SCO,550,600
29,Nazmul Shanto,BAN,549,593
30,Jonny Bairstow,ENG,541,624
31,Shubman Gill,IND,540,573
32,Harry Brook,ENG,533,561
33,Paul Stirling,IRE,531,599
34,David Miller,SA,529,587
35,Rovman Powell,WI,522,534
36,Iftikhar Ahmed,PAK,521,521
37,Marcus Stoinis,AUS,518,519
38,Najibullah Zadran,AFG,518,556
39,Daryl Mitchell,NZ,517,582
40,Max O'Dowd,NED,517,549
41,Ibrahim Zadran,AFG,517,539
42,Kyle Mayers,WI,513,513
43,Glenn Maxwell,AUS,511,836
44,Lokesh Rahul,IND,511,854
45,Rohit Sharma,IND,508,718
46,David Warner,AUS,506,826
47,Dasun Shanaka,SL,504,517
48,Bhanuka Rajapaksa,SL,501,543
49,Hazratullah,AFG,501,736
50,Moeen Ali,ENG,490,525
51,Mohammad Nabi,AFG,486,569
52,Travis Head,AUS,484,484
53,Johnson Charles,WI,482,604
54,Ben Duckett,ENG,478,560
55,Afif Hossain,BAN,475,508
56,Hardik Pandya,IND,473,490
57,Ishan Kishan,IND,470,717
58,Martin Guptill,NZ,470,793
59,Shakib Al Hasan,BAN,469,618
60,Dipendra Airee,NEP,466,498
61,Andrew Balbirnie,IRE,465,523
62,Gerhard Erasmus,NAM,458,499
63,Jason Roy,ENG,449,688
64,Tony Ura,PNG,447,563
65,Kane Williamson,NZ,441,760
66,Heinrich Klaasen,SA,436,494
67,Matthew Wade,AUS,435,476
68,Shan Masood,PAK,433,469
69,Wesley Madhevere,ZIM,432,514
70,Vriitya Aravind,UAE,431,472
71,Curtis Campher,IRE,428,428
72,Tim David,AUS,425,472
73,Craig Williams,NAM,422,477
74,Dhananjaya de Silva,SL,418,418
75,Sikandar Raza,ZIM,418,431
76,Sean Williams,ZIM,418,481
77,Mahmudullah,BAN,417,542
78,Shreyas Iyer,IND,416,622
79,N.T. Tilak Varma,IND,411,509
80,Matthew Short,AUS,410,439
81,Temba Bavuma,SA,410,482
82,J.J. Smit,NAM,409,425
83,Evin Lewis,WI,406,780
84,Mohammad Naim,BAN,405,617
85,Zeeshan Maqsood,OMA,401,445
86,Kusal Perera,SL,399,751
87,Shimron Hetmyer,WI,399,481
88,Aaron Johnson,CAN,397,397
89,Ruturaj Gaikwad,IND,397,397
90,Craig Ervine,ZIM,394,424
91,Colin Ackermann,NED,393,393
92,Liam Livingstone,ENG,392,546
93,Fakhar Zaman,PAK,391,842
94,Stephan Baard,NAM,389,440
95,Ryan Burl,ZIM,387,407
96,Jatinder Singh,OMA,385,524
97,Matthew Cross,SCO,385,478
98,Josh Inglis,AUS,382,450
99,Yashasvi Jaiswal,IND,375,435
100,Jimmy Neesham,NZ,372,409
