Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,324,453
2,Mohammad Nabi,AFG,301,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,253,359
5,Assad Vala,PNG,248,252
6,Mitchell Santner,NZ,237,317
7,Zeeshan Maqsood,OMA,235,262
8,Glenn Maxwell,AUS,225,350
9,Hardik Pandya,IND,219,262
10,Mehedi Hasan,BAN,213,295
11,Michael Leask,SCO,208,209
12,Marco Jansen,SA,208,208
13,Josh Hazlewood,AUS,196,214
14,Sean Williams,ZIM,195,241
15,Mark Watt,SCO,194,201
16,Ravindra Jadeja,IND,194,377
17,Wanindu Hasaranga,SL,191,252
18,Shadab Khan,PAK,186,221
19,Brandon McMullen,SCO,185,185
20,Dhananjaya de Silva,SL,184,228
1,Babar Azam,PAK,829,898
2,Shubman Gill,IND,823,847
3,Quinton de Kock,SA,769,813
4,Heinrich Klaasen,SA,756,756
5,David Warner,AUS,747,880
6,Virat Kohli,IND,747,911
7,Harry Tector,IRE,729,729
8,Rohit Sharma,IND,725,885
9,Rassie van der Dussen,SA,716,796
10,Imam-ul-Haq,PAK,704,815
11,Dawid Malan,ENG,699,711
12,Shai Hope,WI,677,808
13,Daryl Mitchell,NZ,668,668
14,Fakhar Zaman,PAK,654,784
15,David Miller,SA,651,661
16,Rahmanullah Gurbaz,AFG,649,649
17,Steve Smith,AUS,647,752
18,Ibrahim Zadran,AFG,646,663
19,Jos Buttler,ENG,637,741
20,Lokesh Rahul,IND,637,657
21,Temba Bavuma,SA,635,691
22,Kariyawasa Asalanka,SL,632,635
23,Aiden Markram,SA,632,642
24,Mushfiqur Rahim,BAN,627,739
25,Paul Stirling,IRE,623,697
26,Jason Roy,ENG,617,782
27,Pathum Nissanka,SL,615,625
28,Scott Edwards,NED,615,618
29,Sikandar Raza,ZIM,615,627
30,Marnus Labuschagne,AUS,615,622
31,Gerhard Erasmus,NAM,614,618
32,Shreyas Iyer,IND,607,673
33,Jonny Bairstow,ENG,605,796
34,Nicholas Pooran,WI,601,634
35,Joe Root,ENG,600,824
36,Kane Williamson,NZ,596,799
37,Tom Latham,NZ,592,657
38,Mohammad Rizwan,PAK,588,596
39,Travis Head,AUS,587,670
40,Devon Conway,NZ,583,602
41,Ishan Kishan,IND,582,625
42,Rahmat Shah,AFG,573,635
43,Kusal Mendis,SL,573,631
44,Shakib Al Hasan,BAN,567,692
45,Sean Williams,ZIM,566,571
46,Alex Carey,AUS,560,669
47,Mitchell Marsh,AUS,554,641
48,Ben Stokes,ENG,551,694
49,Litton Das,BAN,548,627
50,Glenn Maxwell,AUS,548,735
51,Tamim Iqbal,BAN,544,737
52,Mahmudullah,BAN,543,595
53,Assad Vala,PNG,536,550
54,George Munsey,SCO,529,587
55,Hashmatullah Shaidi,AFG,525,543
56,Andrew Balbirnie,IRE,521,584
57,Vriitya Aravind,UAE,518,538
58,Will Young,NZ,514,517
59,Gajanand Singh,USA,512,512
60,Aaron Jones,USA,510,540
61,Kyle Coetzer,SCO,506,647
62,Max O'Dowd,NED,505,517
63,Aqib Ilyas,OMA,501,578
64,Muhammad Waseem,UAE,500,511
65,Sadeera Samarawickrama,SL,498,498
66,Richard Berrington,SCO,496,535
67,Monank Patel,USA,493,554
68,Martin Guptill,NZ,493,789
69,Shikhar Dhawan,IND,489,813
70,Zeeshan Maqsood,OMA,487,514
71,Michael Leask,SCO,484,491
72,Nazmul Shanto,BAN,480,505
73,Aasif Sheikh,NEP,479,496
74,Hardik Pandya,IND,479,561
75,Najibullah Zadran,AFG,478,555
76,Asif Khan,UAE,476,476
77,Ayaan Khan,OMA,476,476
78,Henry Nicholls,NZ,475,596
79,Mohammad Nabi,AFG,471,545
80,Rachin Ravindra,NZ,465,465
81,Kashyap Prajapati,OMA,464,464
82,Craig Ervine,ZIM,464,524
83,Steven Taylor,USA,462,501
84,R.K. Paudel,NEP,461,519
85,George Dockrell,IRE,460,460
86,Brandon King,WI,458,471
87,Michael van Lingen,NAM,457,465
88,Jatinder Singh,OMA,453,506
89,Haris Sohail,PAK,452,618
90,Vikramjit Singh,NED,446,467
91,Brandon McMullen,SCO,445,445
92,Bas de Leede,NED,444,456
93,Iftikhar Ahmed,PAK,444,444
94,Janneman Malan,SA,443,616
95,Curtis Campher,IRE,440,444
96,Ryan Burl,ZIM,437,437
97,Dhananjaya de Silva,SL,437,487
98,Dimuth Karunaratne,SL,437,477
99,Kushal Bhurtel,NEP,432,432
100,Tony Ura,PNG,431,431
1,Josh Hazlewood,AUS,670,733
2,Mohammed Siraj,IND,668,736
3,Keshav Maharaj,SA,656,656
4,Rashid Khan,AFG,654,806
5,Trent Boult,NZ,653,775
6,Mohammad Nabi,AFG,641,657
7,Adam Zampa,AUS,635,670
8,Matt Henry,NZ,634,691
9,Kuldeep Yadav,IND,632,765
10,Shaheen Afridi,PAK,625,688
11,Mujeeb Ur Rahman,AFG,625,712
12,Mitchell Starc,AUS,622,783
13,Jasprit Bumrah,IND,620,841
14,Kagiso Rabada,SA,620,724
15,Mark Watt,SCO,611,622
16,Lungi Ngidi,SA,598,621
17,Bernard Scholtz,NAM,589,589
18,Maheesh Theekshana,SL,586,611
19,Saurabh Netravalkar,USA,586,597
20,Chris Woakes,ENG,576,711
21,Shakib Al Hasan,BAN,573,717
22,Mohammad Shami,IND,564,654
23,Akeal Hosein,WI,563,597
24,Mitchell Santner,NZ,563,663
25,Reece Topley,ENG,558,558
26,Alzarri Joseph,WI,558,625
27,Andy McBrine,IRE,545,646
28,Haris Rauf,PAK,541,582
29,Jofra Archer,ENG,539,642
30,Sandeep Lamichhane,NEP,539,595
31,Ravindra Jadeja,IND,537,738
32,Mustafizur Rahman,BAN,531,695
33,Mark Adair,IRE,529,565
34,Pat Cummins,AUS,528,729
35,Adil Rashid,ENG,526,687
36,Mehedi Hasan,BAN,519,725
37,Richard Ngarava,ZIM,518,524
38,Tabraiz Shamsi,SA,515,597
39,Christopher Sole,SCO,509,511
40,Ruben Trumpelmann,NAM,508,510
41,Aayan Afzal Khan,UAE,500,517
42,Marco Jansen,SA,500,500
43,Bilal Khan,OMA,499,545
44,David Willey,ENG,498,569
